4230	896
2199	99
27122	535
9324	59
2096	63
24334	1179
2034	1105
4979	233
20688	536
4486	1141
11380	136
5861	87
6404	478
7857	149
9007	1379
2993	251
11150	430
14798	398
1316	3676
933	297
13821	135
21078	89
2565	745
4034	2678
20810	104
24496	501
18407	181
7578	488
11812	26
7254	998
2689	2414
9890	27
3057	94
4738	447
19147	49
7439	660
26091	936
16954	43
14495	202
2178	262
7734	147
20630	30
28411	610
9583	316
15013	2208
5000	610
2052	336
8160	99
22532	118
3856	30
6217	1413
11836	116
1530	524
18103	198
6057	135
32468	180
2102	298
7303	118
13295	11
1882	48
9155	513
18039	828
10514	92
18488	1468
1034	387
931	31
14019	179
4187	77
5914	380
15393	77
9832	74
9370	1200
4299	265
3915	1296
4008	73
23535	56
12832	84
5028	337
1420	875
698	394
15264	1846
19651	516
22997	56
11239	422
11109	584
7600	96
1095	56
14291	37
11789	84
3316	2152
14829	614
17707	118
21772	327
6592	30
13278	8
6169	250
1994	360
1026	476
13618	35
5151	198
2252	313
167	902
7639	221
17716	181
3699	118
23601	320
14645	635
2673	711
15177	11
3802	620
9536	29
13675	52
28807	2527
6855	660
1758	491
728	1138
11127	198
1985	611
8260	187
1299	31
3442	1192
10720	118
3265	572
30803	182
411	114
2121	131
19173	106
15389	146
2083	77
3055	1098
16757	53
11722	261
5592	181
4548	623
4051	536
16296	67
13181	613
2518	99
14530	709
28832	372
6081	660
19179	8
1117	254
3915	32
9833	298
19974	29
14678	220
21858	349
24425	135
3250	1448
591	1765
8245	2936
2567	206
2508	1118
456	353
13257	547
1362	56
1965	1436
14265	135
9396	41
10128	49
9579	147
5348	11
16183	60
3851	813
7840	1850
1702	11
303	523
17640	61
5444	153
12429	58
27947	382
9754	636
13707	198
551	477
17488	40
13339	118
4552	135
1481	71
4743	832
31349	73
6178	268
18565	696
21031	298
7591	111
15517	360
1122	169
1608	338
1609	1040
8802	41
17094	453
7219	1233
29426	73
6582	1127
10092	638
1209	586
2341	96
5962	109
5099	773
23444	250
1877	481
20749	479
7958	60
3265	1226
16564	84
11611	81
25872	45
7488	354
4426	1152
2622	783
2375	1165
16848	8
1475	4721
3125	106
4667	191
8950	173
364	387
13388	235
2765	501
1644	870
3638	1701
12964	182
7647	1263
8144	8
383	171
9366	136
11528	114
25761	89
27030	118
9693	202
19593	240
1206	282
2518	660
17538	32
2011	92
13706	372
456	623
4544	1363
17968	504
21601	570
6341	837
3539	77
10635	1050
18268	490
24185	1050
22080	30
2080	1517
250	532
4849	32
1483	962
8954	689
6721	1779
3807	182
3383	477
13660	894
604	53
3892	610
2107	241
33075	198
9272	71
18169	1503
14597	170
14291	704
14419	313
9526	398
59	30
6335	114
2866	73
896	234
3277	11
7553	273
26706	8
7454	139
19	2187
21983	61
5829	315
6180	1092
16708	447
4371	21
2666	706
24110	390
19222	3
16463	530
7177	711
22196	109
17701	53
13106	299
22070	43
16175	54
20273	10
10849	261
22829	432
7961	523
24073	27
1542	614
3119	121
28888	466
3223	929
26584	3
7880	450
9578	258
3105	52
28637	3862
4883	654
14249	31
1053	1211
2042	146
15157	307
986	27
8681	27
11437	1408
15308	71
672	571
1883	353
2845	65
4500	1833
2292	84
1219	438
238	297
1398	625
18916	135
5561	304
10226	173
9330	92
1846	222
883	96
7685	387
8538	167
6833	486
21663	22
2370	61
8222	186
11856	450
6998	39
7593	449
7742	1102
5738	1330
4446	550
15033	187
22206	244
2952	777
10443	261
5427	444
2737	141
7684	536
3481	153
26645	180
31316	439
12398	902
7818	444
12657	74
4015	352
32055	298
4349	635
1676	110
22321	224
9681	59
4036	30
14928	697
13389	404
27796	198
13045	30
19537	47
33877	1591
19	221
7170	529
29953	222
23660	92
981	176
12268	40
11147	1080
8365	1199
10549	151
667	30
3747	1266
18358	153
9845	17
1045	343
13381	178
5846	121
14242	1522
3897	601
8814	657
592	216
2347	2387
712	474
8167	3
8131	39
28339	58
14972	61
16073	5
47	77
1285	2404
3346	73
15478	6
27241	53
702	972
10926	207
13498	1152
12122	306
7412	158
190	867
9660	99
18592	409
16774	118
11926	186
11650	3075
25728	26
19698	53
3600	849
10902	481
17869	133
7215	118
12362	57
7967	65
5094	96
11068	68
1843	571
15144	135
21903	774
20005	3789
1713	163
44	930
19642	35
5406	198
1724	567
2056	250
7396	35
2592	2216
4157	45
448	709
12805	625
271	87
26624	118
7085	10
11465	65
9868	419
21339	486
1256	659
2358	124
2020	327
824	75
10252	372
14547	752
3794	171
291	464
4259	689
5893	60
9941	106
13586	30
6752	222
29018	31
2940	536
10573	1428
1038	750
